1;GUADELOUPE;Guadeloupe
2;MARTINIQUE;Martinique
3;GUYANE;Guyane
4;LA REUNION;La Réunion
6;MAYOTTE;Mayotte
11;ILE-DE-FRANCE;Île-de-France
21;CHAMPAGNE-ARDENNE;Champagne-Ardenne
22;PICARDIE;Picardie
23;HAUTE-NORMANDIE;Haute-Normandie
24;CENTRE;Centre
25;BASSE-NORMANDIE;Basse-Normandie
26;BOURGOGNE;Bourgogne
31;NORD-PAS-DE-CALAIS;Nord-Pas-de-Calais
41;LORRAINE;Lorraine
42;ALSACE;Alsace
43;FRANCHE-COMTE;Franche-Comté
52;PAYS DE LA LOIRE;Pays de la Loire
53;BRETAGNE;Bretagne
54;POITOU-CHARENTES;Poitou-Charentes
72;AQUITAINE;Aquitaine
73;MIDI-PYRENEES;Midi-Pyrénées
74;LIMOUSIN;Limousin
82;RHONE-ALPES;Rhône-Alpes
83;AUVERGNE;Auvergne
91;LANGUEDOC-ROUSSILLON;Languedoc-Roussillon
93;PROVENCE-ALPES-COTE D'AZUR;Provence-Alpes-Côte d'Azur
94;CORSE;Corse
